address,available_from,balcony,closest_shop,contruction_year,dishwasher,dryer,elevator,floors,highway,kindergarten,parking_ext,parking_int,price,prim_school,public_transp,rooms,secon_school,sq_meters,tv,type,wash_m
Chemin du Grand-Record 5 1030 Bussigny,Immédiate,True,,2021,,,True,1. étage,,,,,345'000,,,1,,22,,Appartement,
Morrens 1054 Morrens VD,Immédiate,,68,1974,,,,EG,4318,125,True,True,1'400'000,125,68,6.5,125,237,,Appartement,
Chemin Riant-Pré 1010 Lausanne,À convenir,True,,1977,,,,2. étage,,,True,True,1'490'000,,,4.5,,127,,Appartement,
Au coeur de Lausanne 1005 Lausanne,À convenir,,,Non disponible,,,,EG,,,,,990'000,,,3.5,,85,,Appartement,
1025 St-Sulpice VD,Immédiate,,,1910,True,,,Non disponible,,,,True,1'990'000,,,7.5,,Non disponible,,Autre,
1008 Jouxtens-Mézery,À convenir,True,,Non disponible,,,,Non disponible,,,,,2'430'000,,,Non disponible,,190,,Maison,
1010 Jouxtens-Mézery,À convenir,,,Non disponible,,,,Non disponible,,,,,2'430'000,,,Non disponible,,190,,Maison,
Chemin de la Gotta d'Or 7 1093 La Conversion,À convenir,True,,2005,,,,1. étage,,,True,True,2'890'000,,,4.5,,138,,Appartement,
1027 Lonay,01.07.2022,,,2020,,,,EG,,,,True,675'000,,,2.5,,59,,Appartement,
1093 La Conversion,À convenir,,,2005,,,,1. étage,,,True,True,2'890'000,,,4.5,,138,,Appartement,
1066 Epalinges,À convenir,,,Non disponible,,,,Non disponible,,,,True,2'850'000,,,9,,280,,Maison,
1008 Prilly,À convenir,True,,2018,,,True,2. étage,,,True,,945'000,,,3.5,,81,,Appartement,
1020 Renens VD,01.11.2022,,,Non disponible,,,,Non disponible,,,,,1'320'000,,,5.5,,167,,Appartement,
Chemin du Bois de l'Hôpital 1052 Le Mont,31.12.2023,True,,2023,,,,1. étage,,,True,True,1'740'000,,,5.5,,150,,Appartement,True
1027 Lonay,À convenir,,,1912,,,,Non disponible,,,,,1'175'000,,,5.5,,110,,Maison,
1095 Lutry,À convenir,,,2022,,,,Non disponible,,,True,True,5'290'000,,,6.5,,276,,Villa,
1091 Chenaux,À convenir,True,365,1963,,,,Non disponible,,,,True,4'950'000,563,,9,,350,,Maison,
1036 Sullens,À convenir,,170,1730,,,,Non disponible,,,,,2'885'000,358,,10,,384,,Maison jumelée,
Route du Col du Sanetsch 1004 Lausanne,01.07.2022,,,Non disponible,,,,Non disponible,,,,,sur demande,,,Non disponible,,Non disponible,,Maison,
Chemin de Chissiez 5 1006 Lausanne,À convenir,True,,1945,,,True,2. étage,,,,,890'000,,,3.5,,72,,Appartement,
Chem. du Corgeon 12 1095 Lutry,À convenir,True,,2000,,,,Non disponible,,,True,True,3'800'000,,,7.5,,220,,Maison,
Rte d'Oron 68 1010 Lausanne,À convenir,True,,Non disponible,,,,Non disponible,,,True,,2'100'000,,,4.5,,Non disponible,,Maison,
1033 Cheseaux-sur-Lausanne,Immédiate,,,1850,,,,Non disponible,,,True,,2'885'000,,,12,,590,,Maison,
1000 Lausanne 26,Immédiate,True,97,1998,,,,Non disponible,,,True,,1'198'000,725,,5.5,,180,,Maison mitoyenne,
1000 Lausanne 26,Immédiate,True,,1998,,,,Non disponible,,,True,,1'198'000,,,5.5,,Non disponible,,Autre,
1036 Sullens,À convenir,,,1984,,,,2. étage,,,,True,4'950'000,,,11,,676,,Maison,
1009 Pully,À convenir,True,102,1936,,,True,Non disponible,,,True,True,3'500'000,461,,8.5,,260,,Maison,
1009 Pully,À convenir,,,2003,,,,Non disponible,,,,,2'690'000,,,6.5,,202,,Appartement,
1091 Grandvaux,30.09.2023,True,,Non disponible,,,,EG,,,,,1'495'000,,,4.5,,Non disponible,,Appartement,
1010 Lausanne,À convenir,True,,2023,,,True,1. étage,,,,,478'290,,,1.5,,29,,Appartement,
1009 Pully,À convenir,True,,2003,,,,Non disponible,,,,,2'690'000,,,6.5,,Non disponible,,Appartement,
1012 Lausanne,Immédiate,True,800,Non disponible,,,True,Non disponible,,,True,True,3'480'000,600,,8,,200,,Attique,
Chem. de l'Ormet 1024 Ecublens,01.10.2023,True,,2022,,,,Non disponible,,,True,True,1'740'000,,,5.5,,132,,Maison jumelée,
1009 Pully,À convenir,True,1100,Non disponible,,,,3. étage,5000,220,,True,990'000,220,100,2.5,220,71,,Appartement,
Rue de la Borde 43 1018 Lausanne,À convenir,,,Non disponible,,,,Non disponible,,,,,140'000,,,Non disponible,,Non disponible,,Local commercial,
