address,available_from,balcony,closest_shop,contruction_year,dishwasher,dryer,elevator,floors,highway,kindergarten,parking_ext,parking_int,price,prim_school,public_transp,rooms,secon_school,sq_meters,tv,type,wash_m
lugano 6921 Vico Morcote,Data da convenire,True,,1989,,,,non disponibile,,,,,4'500'000,,,7.5,,388,True,Villa,
6921 Vico Morcote,By arrangement,,,1969,,,,2. floor,,,,,1100000,,,2.5,,75,True,Apartment,
6921 Vico Morcote,01.10.2022,,,non disponibile,,,,non disponibile,,,,,2'590'000,,,6,,320,,Appartamento,
6921 Vico Morcote,nach Vereinbarung,,,nicht verfügbar,,,,EG,,,,,3'900'000,,,4.5,,200,,Villa,
6921 Vico Morcote,Data da convenire,,,1969,,,,2. piano,,,,,1'100'000,,,2.5,,75,,Appartamento,
6921 Vico Morcote,À convenir,,,2011,,,,Non disponible,,,,True,2'600'000,,,5.5,,300,,Appartement,
Via Pizzora 41 6921 Vico Morcote,By arrangement,,,1984,,,,not available,,,,,450000,,,5,,152,,Single-family house,
Via Pizzora 41 6921 Vico Morcote,nach Vereinbarung,,,1984,,,,nicht verfügbar,,,,,450'000,,,5,,152,,Haus,
Riva Lago Olivella 6921 Vico Morcote,By arrangement,,,not available,,,,not available,,,,,5000000,,,5.5,,300,,Villa,
6921 Vico Morcote,À convenir,,,Non disponible,,,,Non disponible,,,,,600'000,,,2.5,,70,,Appartement,
Riva Lago Olivella 6921 Vico Morcote,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,5'000'000,,,5.5,,300,,Villa,
6921 Vico Morcote,Data da convenire,,,1970,,,,EG,,,,,800'000,,,2.5,,65,,Appartamento,
6921 Vico Morcote,By arrangement,,,not available,,,,not available,,,,,6700000,,,9,,450,,Villa,
6921 Vico Morcote,01.10.2022,,,Non disponible,,,,Non disponible,,,True,True,2'590'000,,,6,,320,,Appartement,
6921 Vico Morcote,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,800'000,,,2.5,,70,,Wohnung,
6921 Vico Morcote,Data da convenire,,,non disponibile,,,,non disponibile,,,,,6'700'000,,,9,,450,,Villa,
6921 Vico Morcote,By arrangement,,,1850,,,,not available,,,,,1800000,,,7.5,,164,,Single-family house,
6921 Vico Morcote,À convenir,,,1969,,,True,2. étage,,,True,,1'100'000,,,2.5,,75,True,Appartement,
6921 Vico Morcote,nach Vereinbarung,,,2011,,,,nicht verfügbar,,,,,2'600'000,,,5.5,,300,,Wohnung,
6921 Vico Morcote,By arrangement,,,1970,,,,EG,,,,,800000,,,2.5,,65,,Apartment,
6921 Vico Morcote,Data da convenire,,,1850,,,,non disponibile,,,,,1'800'000,,,7.5,,164,,Casa,
6921 Vico Morcote,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,600'000,,,2.5,,70,,Wohnung,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,Data da convenire,,,non disponibile,,,,non disponibile,,,,,4'300,,,6.5,,330,,Casa,
lugano 6921 Vico Morcote,By arrangement,True,,1989,,,,not available,,,,,4500000,,,7.5,,388,True,Villa,
6921 Vico Morcote,01.10.2022,,,nicht verfügbar,,,,nicht verfügbar,,,,,2'590'000,,,6,,320,,Wohnung,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,By arrangement,,,not available,,,,not available,,,,,4300,,,6.5,,330,,Single-family house,
6921 Vico Morcote,nach Vereinbarung,,,1969,,,,2. Stock,,,,,1'100'000,,,2.5,,75,True,Wohnung,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,Data da convenire,,,non disponibile,,,,3. piano,,,,,850,,,2.5,,55,,Appartamento,
lugano 6921 Vico Morcote,nach Vereinbarung,,,1989,,,,nicht verfügbar,,,,,4'500'000,,,7.5,,388,True,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,Data da convenire,,,non disponibile,,,,3. piano,,,,,1'040,,,3.5,,70,,Appartamento,
6921 Vico Morcote,À convenir,,,1970,,,,EG,,,,,800'000,,,2.5,,65,,Appartement,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}Via Chiesa 10 6833 Vacallo,Data da convenire,True,,2010,,,,EG,,,,,1'650,,,3.5,,109,,Appartamento,
